Category: All categories

Month,big data: (Worldwide)
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,2
2010-11,2
2010-12,0
2011-01,1
2011-02,1
2011-03,6
2011-04,1
2011-05,2
2011-06,5
2011-07,4
2011-08,5
2011-09,11
2011-10,8
2011-11,13
2011-12,14
2012-01,13
2012-02,19
2012-03,23
2012-04,28
2012-05,41
2012-06,32
2012-07,32
2012-08,29
2012-09,22
2012-10,29
2012-11,34
2012-12,32
2013-01,25
2013-02,44
2013-03,35
2013-04,33
2013-05,46
2013-06,40
2013-07,39
2013-08,34
2013-09,43
2013-10,42
2013-11,41
2013-12,48
2014-01,40
2014-02,43
2014-03,40
2014-04,39
2014-05,40
2014-06,39
2014-07,45
2014-08,39
2014-09,42
2014-10,41
2014-11,29
2014-12,31
2015-01,30
2015-02,47
2015-03,42
2015-04,44
2015-05,48
2015-06,65
2015-07,43
2015-08,45
2015-09,36
2015-10,46
2015-11,35
2015-12,34
2016-01,39
2016-02,74
2016-03,73
2016-04,52
2016-05,49
2016-06,55
2016-07,100
2016-08,67
2016-09,68
2016-10,63
2016-11,67
2016-12,58
2017-01,79
2017-02,74
2017-03,51
2017-04,54
2017-05,40
2017-06,50
2017-07,31
2017-08,37
2017-09,35
2017-10,35
2017-11,46
2017-12,39
2018-01,41
2018-02,43
