Category: All categories

Month,data science: (Worldwide)
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,20
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,16
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,13
2009-12,0
2010-01,0
2010-02,12
2010-03,13
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,11
2011-02,12
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,10
2012-01,9
2012-02,10
2012-03,0
2012-04,21
2012-05,9
2012-06,0
2012-07,0
2012-08,8
2012-09,15
2012-10,0
2012-11,6
2012-12,12
2013-01,16
2013-02,6
2013-03,27
2013-04,11
2013-05,11
2013-06,0
2013-07,21
2013-08,5
2013-09,5
2013-10,46
2013-11,41
2013-12,23
2014-01,15
2014-02,5
2014-03,18
2014-04,9
2014-05,4
2014-06,44
2014-07,32
2014-08,28
2014-09,28
2014-10,31
2014-11,9
2014-12,29
2015-01,40
2015-02,25
2015-03,47
2015-04,38
2015-05,38
2015-06,34
2015-07,58
2015-08,33
2015-09,35
2015-10,29
2015-11,33
2015-12,60
2016-01,36
2016-02,42
2016-03,67
2016-04,40
2016-05,48
2016-06,61
2016-07,72
2016-08,57
2016-09,59
2016-10,74
2016-11,86
2016-12,49
2017-01,77
2017-02,100
2017-03,87
2017-04,46
2017-05,65
2017-06,63
2017-07,49
2017-08,58
2017-09,73
2017-10,73
2017-11,69
2017-12,57
2018-01,77
2018-02,94
