Category: All categories

Month,statistics: (Worldwide)
2008-01,42
2008-02,47
2008-03,42
2008-04,43
2008-05,47
2008-06,44
2008-07,37
2008-08,50
2008-09,39
2008-10,56
2008-11,100
2008-12,51
2009-01,46
2009-02,50
2009-03,62
2009-04,54
2009-05,55
2009-06,45
2009-07,59
2009-08,49
2009-09,64
2009-10,86
2009-11,65
2009-12,47
2010-01,62
2010-02,57
2010-03,66
2010-04,36
2010-05,29
2010-06,34
2010-07,50
2010-08,36
2010-09,48
2010-10,33
2010-11,33
2010-12,43
2011-01,82
2011-02,85
2011-03,86
2011-04,82
2011-05,73
2011-06,58
2011-07,51
2011-08,58
2011-09,59
2011-10,64
2011-11,64
2011-12,50
2012-01,52
2012-02,71
2012-03,65
2012-04,72
2012-05,57
2012-06,61
2012-07,56
2012-08,66
2012-09,53
2012-10,62
2012-11,52
2012-12,40
2013-01,44
2013-02,51
2013-03,42
2013-04,44
2013-05,44
2013-06,33
2013-07,32
2013-08,39
2013-09,47
2013-10,51
2013-11,43
2013-12,36
2014-01,39
2014-02,50
2014-03,43
2014-04,40
2014-05,38
2014-06,34
2014-07,37
2014-08,33
2014-09,38
2014-10,40
2014-11,36
2014-12,27
2015-01,33
2015-02,38
2015-03,39
2015-04,38
2015-05,38
2015-06,32
2015-07,32
2015-08,32
2015-09,33
2015-10,42
2015-11,38
2015-12,34
2016-01,37
2016-02,38
2016-03,42
2016-04,35
2016-05,38
2016-06,33
2016-07,33
2016-08,34
2016-09,38
2016-10,34
2016-11,38
2016-12,31
2017-01,38
2017-02,42
2017-03,44
2017-04,42
2017-05,39
2017-06,30
2017-07,28
2017-08,35
2017-09,38
2017-10,43
2017-11,43
2017-12,34
2018-01,34
2018-02,45
